Month,2024 Actual,2025 ARIMA Forecast,YoY Change,Lower 95% CI,Upper 95% CI
January,31.25,23.17,-25.9%,16.55,29.79
February,28.18,23.20,-17.7%,14.97,31.43
March,24.07,23.20,-3.6%,13.44,32.96
April,18.64,23.20,24.5%,12.15,34.25
May,18.64,23.20,24.5%,10.99,35.40
June,15.56,23.20,49.1%,9.94,36.46
July,17.71,23.20,31.0%,8.96,37.44
August,18.79,23.20,23.5%,8.04,38.35
September,20.33,23.20,14.1%,7.18,39.22
October,23.74,23.20,-2.3%,6.36,40.04
November,22.64,23.20,2.5%,5.58,40.82
December,23.34,23.20,-0.6%,4.83,41.56
Average,21.91,23.20,9.9%,9.92,36.48
