Date,Factor_Conservative,Factor_Moderate,Factor_Ambitious,ARIMA_Forecast,ARIMA_Lower_CI,ARIMA_Upper_CI,ARIMA_YoY
2025-01-01,38.01,45.12,53.16,23.169216835295607,16.551827329836033,29.78660634075518,-25.858506127054053
2025-02-01,31.41,36.96,43.56,23.2035186088675,14.972656034178708,31.434381183556294,-17.659621686062803
2025-03-01,26.78,31.42,37.19,23.19650892565605,13.435635932681588,32.95738191863052,-3.628961671557745
2025-04-01,19.2,21.73,24.31,23.19794137808076,12.150207138193874,34.24567561796765,24.45247520429592
2025-05-01,18.95,21.45,24.02,23.197648651592676,10.991805993259751,35.4034913099256,24.45090478322251
2025-06-01,15.14,16.83,18.75,23.197708471238585,9.935672990156643,36.45974395232052,49.08553002081352
2025-07-01,17.79,19.93,22.39,23.19769624689203,8.957368158815441,37.43802433496862,30.986427142247475
2025-08-01,18.48,20.71,23.29,23.19769874497851,8.042138661209417,38.3532588287476,23.457683581578024
2025-09-01,18.36,19.98,21.76,23.197698234486104,7.17910513694471,39.216291332027495,14.105746357531265
2025-10-01,22.17,23.51,24.85,23.19769833880695,6.360252159429535,40.03514451818437,-2.284337241756728
2025-11-01,20.05,21.45,22.85,23.197698317488634,5.5794159389625335,40.815980696014734,2.4633317910275307
2025-12-01,22.47,24.85,27.27,23.197698321845102,4.831747439145431,41.563649204544774,-0.6096901377673409
